,,"Продажа автомобилей ""MB Motors""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""MB Motors""
				ул. ХаГистадрут 33, Хайфа								Тел. 04-6211151, 052-3257457http://mbmotorscar.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
,,"Магазин освещения ""Big Light""","Освещение (19) ","
				Магазин освещения ""Big Light""
				Кфар-Ясиф				(рядом с АЗС ""Дизол"")				Тел. 04-9566691, 052-3283037, 054-5734250https://facebook.com/pages/Big-Light/209709365867167?fref=ts",http://info24.co.il/coupons/vse-goroda/osveschenie
,,"Освещение ""4 Seasons Lights""","Освещение (19) ","
				Освещение ""4 Seasons Lights""
				Меилия				(напротив т.ц. ""Дабах"". 2-й эт.)				Тел. 04-6785222, 052-3868609",http://info24.co.il/coupons/vse-goroda/osveschenie
mailto:technoshlomo@bezeqint.net,technoshlomo@bezeqint.net,"Хозтовары ""Техно Шломо""","Освещение (19) ","
				Хозтовары ""Техно Шломо""
				ул. ХаХарошет 33, Кармиэль								Тел. 04-9888222, 052-2615843, 052-5268862				Факс. 04-9582971technoshlomo@bezeqint.net",http://info24.co.il/coupons/vse-goroda/osveschenie
mailto:hapina44@gmail.com,hapina44@gmail.com,"Предметы интерьера и сувениры ""Хапина""","Освещение (19) ","
				Предметы интерьера и сувениры ""Хапина""
				ул. Герцль 44, Хайфа				(Адар)				Тел. 04-8624468, 04-8663242hapina44@gmail.comhttp://hapina.co.il",http://info24.co.il/coupons/vse-goroda/osveschenie
mailto:noah.info@gmail.com,noah.info@gmail.com,"Магазин освещения ""Ноах Хашмаль""","Освещение (19) ","
				Магазин освещения ""Ноах Хашмаль""
				ул. Герцль 91, Нагария								Тел. 04-9513042				Факс. 04-9920370noah.info@gmail.com",http://info24.co.il/coupons/vse-goroda/osveschenie
,,"Подарки, сувениры и посуда ""Атикот Вешушаним""","Освещение (19) ","
				Подарки, сувениры и посуда ""Атикот Вешушаним""
				Кфар Януах				(рядом с Кфар-Врадим)				Тел. 04-9575934, 050-9575934http://www.antiques_roses.co.il",http://info24.co.il/coupons/vse-goroda/osveschenie
,,"Магазин освещения ""Саида Теора""","Освещение (19) ","
				Магазин освещения ""Саида Теора""
Пкиин
				(рядом с АЗС ""Паз"")				Тел. 04-9572989, 050-7486991",http://info24.co.il/coupons/vse-goroda/osveschenie
mailto:home0701@walla.com,home0701@walla.com,"Магазин ""Хоум Электрик""","Освещение (19) ","
				Магазин ""Хоум Электрик""
				Джулис				(на первом кольце направо, по правой стороне)				Тел. 04-9563949/51, 057-6423286home0701@walla.com",http://info24.co.il/coupons/vse-goroda/osveschenie
mailto:bobh@bezeqint.net,bobh@bezeqint.net,"Стройматериалы ""Боб Хабанай -Центр""","Освещение (19) ","
				Стройматериалы ""Боб Хабанай -Центр""
				ул. ХаОрег 2, Кармиэль				(промзона)				Тел. 050-8556938				Факс. 04-9905427bobh@bezeqint.net",http://info24.co.il/coupons/vse-goroda/osveschenie
,,"Магазин освещения ""Орот ХаЦафон""","Освещение (19) ","
				Магазин освещения ""Орот ХаЦафон""
				ул. Йехошафат 9 , Акко								Тел. 04-9914463",http://info24.co.il/coupons/vse-goroda/osveschenie
,,"Магазин освещения ""Галь-Хай""","Освещение (19) ","
				Магазин освещения ""Галь-Хай""
				ул. Харошет 34, Кирьят Бялик				(промзона)				Тел. 04-8766320, 054-7555573, 054-7555573",http://info24.co.il/coupons/vse-goroda/osveschenie
,,"Бытовая техника и освещение ""Сархан""","Освещение (19) ","
				Бытовая техника и освещение ""Сархан""
				Маджд Аль-Крум								Тел. 04-9889512, 054-4571582				Факс. 04-9889513",http://info24.co.il/coupons/vse-goroda/osveschenie
,,"Мебель, текстиль, сувениры ""Карма""","Освещение (19) ","
				Мебель, текстиль, сувениры ""Карма""
				ул. ХаХарошет 45, Кармиэль				(промзона)				Тел. 04-9981547				Факс. 04-9988950",http://info24.co.il/coupons/vse-goroda/osveschenie
mailto:w2000@barak.net.il,w2000@barak.net.il,"Магазин освещения ""Свет 2000""","Освещение (19) ","
				Магазин освещения ""Свет 2000""
				Кфар-Ясиф								Тел. 04-9961842				Факс. 04-9961111w2000@barak.net.il",http://info24.co.il/coupons/vse-goroda/osveschenie
mailto:service@mybaby.co.il,service@mybaby.co.il,"My Baby - торговый центр для матери и ребенка","Отдых и развлечения (29) ","
				My Baby - торговый центр для матери и ребенка
				Ярка								Тел. 04-9563336, 053-3316208				Факс. 04-9565335service@mybaby.co.ilhttp://mybaby.co.il",http://info24.co.il/coupons/vse-goroda/otdyh-i-razvlecheniya
mailto:info@skidki.co.il,info@skidki.co.il,"Реклама в Израиле ""Info24.co.il""","Отдых и развлечения (29) ","
				Реклама в Израиле ""Info24.co.il""
				Телефоны для рекламодателей:								Тел. 073-7508999, (+972)-73-750-8999info@skidki.co.il",http://info24.co.il/coupons/vse-goroda/otdyh-i-razvlecheniya
,,"Фильмы на русском языке в кинотеатрах Израиля","Отдых и развлечения (29) ","
				Фильмы на русском языке в кинотеатрах Израиля
				Весь Израиль								Тел. 0525-88-11-88http://kinorai.co.il",http://info24.co.il/coupons/vse-goroda/otdyh-i-razvlecheniya
,,"Ресторан в Хайфе ""Milagro""","Отдых и развлечения (29) ","
				Ресторан в Хайфе ""Milagro""
				ул. Бен Гурион 21, Хайфа								Тел. 04-8537777, 054-2350950",http://info24.co.il/coupons/vse-goroda/otdyh-i-razvlecheniya
,,"Лофт-ресторан ""To You"" в Хайфе","Отдых и развлечения (29) ","
				Лофт-ресторан ""To You"" в Хайфе
				ул. Халуцей ХаТа'асия 80, Мифрац Хайфа				(Кирьят Хаим)				Тел. 04-8400994http://toyou.club",http://info24.co.il/coupons/vse-goroda/otdyh-i-razvlecheniya
mailto:energy9681@gmail.com,energy9681@gmail.com,"Сауна-СПА для особых мероприятий ""Party Loft""","Отдых и развлечения (29) ","
				Сауна-СПА для особых мероприятий ""Party Loft""
				ул. Маклеф 2, Хайфа				(Чекпост)				Тел. 050-9000863energy9681@gmail.comhttp://partyloft.co.il",http://info24.co.il/coupons/vse-goroda/otdyh-i-razvlecheniya
,,"Почасовая аренда апартаментов в Хайфе","Отдых и развлечения (29) ","
				Почасовая аренда апартаментов в Хайфе
				Джеймс Уатт 2, Хайфа								Тел. 04-8700387, 052-7536626",http://info24.co.il/coupons/vse-goroda/otdyh-i-razvlecheniya
,,"Сауна-СПА для особых мероприятий ""Бриза""","Отдых и развлечения (29) ","
				Сауна-СПА для особых мероприятий ""Бриза""
				ул. Порцей Келе Акко 6, Нагария				(напротив ""Life & Fitness"")				Тел. 04-9823998",http://info24.co.il/coupons/vse-goroda/otdyh-i-razvlecheniya
,,"Сады ""Ганэй Альмана""","Отдых и развлечения (29) ","
				Сады ""Ганэй Альмана""
				Джулис-Ярка				(просле т.ц. ""Мерказ Амазон"")				Тел. 052-4318414				Факс. 04-9964760",http://info24.co.il/coupons/vse-goroda/otdyh-i-razvlecheniya
,,"Циммер в Хурфейше ""Циммер БаКфар""","Отдых и развлечения (29) ","
				Циммер в Хурфейше ""Циммер БаКфар""
				Кфар Хурфейш								Тел. 050-6590406, 050-9336630",http://info24.co.il/coupons/vse-goroda/otdyh-i-razvlecheniya
,,"Циммер ""Свитот Ярот ХаВади""","Отдых и развлечения (29) ","
				Циммер ""Свитот Ярот ХаВади""
				Кфар Хурфейш								Тел. 04-9570016, 054-4486067, 050-6366557",http://info24.co.il/coupons/vse-goroda/otdyh-i-razvlecheniya
,,"Вилла на Севере Израиля ""Мечта путника""","Отдых и развлечения (29) ","
				Вилла на Севере Израиля ""Мечта путника""
				Яфе Ноф, Маалот				(Западная Галилея)				Тел. 050-7890052, 050-5705749",http://info24.co.il/coupons/vse-goroda/otdyh-i-razvlecheniya
mailto:seaplazahotel@gmail.com,seaplazahotel@gmail.com,"Семейный отель в Хайфе ""Sea Plaza""","Отдых и развлечения (29) ","
				Семейный отель в Хайфе ""Sea Plaza""
				ул. Сдерот Бат Галим 6, Хайфа								Тел. 04-8552222, 054-3033000				Факс. 04-8552222seaplazahotel@gmail.comhttp://seaplaza.co.il",http://info24.co.il/coupons/vse-goroda/otdyh-i-razvlecheniya
,,"Аттракционы ""Mano - картинг""","Отдых и развлечения (29) ","
				Аттракционы ""Mano - картинг""
				Ярка				(не доезжая до т.ц. ""Амш Стар"")				Тел. 054-2566781, 050-9962651",http://info24.co.il/coupons/vse-goroda/otdyh-i-razvlecheniya
mailto:laurence_v@nana10.co.il,laurence_v@nana10.co.il,"Агентство по недвижимости ""Надлан Бат Галим""","Отдых и развлечения (29) ","
				Агентство по недвижимости ""Надлан Бат Галим""
				ул. Ха'Алия ХаШния 40, Хайфа								Тел. 077-4545200, 052-2833249laurence_v@nana10.co.il",http://info24.co.il/coupons/vse-goroda/otdyh-i-razvlecheniya
,,"Циммер ""Армон ХаГалиль""","Отдых и развлечения (29) ","
				Циммер ""Армон ХаГалиль""
				Ярка								Тел. 04-9563031, 054-6908845",http://info24.co.il/coupons/vse-goroda/otdyh-i-razvlecheniya
,,"Циммер ""Шахар БаКфар""","Отдых и развлечения (29) ","
				Циммер ""Шахар БаКфар""
				Бустан ХаГалиль				(рядом с Акко)				Тел. 04-9817232, 054-6654411, 054-6634410				Факс. 04-9816865",http://info24.co.il/coupons/vse-goroda/otdyh-i-razvlecheniya
,,"Циммер ""Ронит и Марио""","Отдых и развлечения (29) ","
				Циммер ""Ронит и Марио""
				Аббирим				(15 мин. езды от Маалота)				Тел. 077-3002862, 0507992304http://ronitmario.biz",http://info24.co.il/coupons/vse-goroda/otdyh-i-razvlecheniya
mailto:shemesh2004@gmail.com,shemesh2004@gmail.com,"Типография в Крайот ""Шемеш""","Подарки, сувениры (40) ","
				Типография в Крайот ""Шемеш""
				ул. Пинхас Лавон 13, Кирьят Ям				(""Мерказ Денемарк"")				Тел. 04-8744854, 054-7644335				Факс. 153-547-664-335shemesh2004@gmail.comhttps://www.facebook.com/Dfus.Shemesh/",http://info24.co.il/coupons/vse-goroda/podarki_suveniry
mailto:artshop55@gmail.com,artshop55@gmail.com,"Сувениры ""Арт-Шоп""","Подарки, сувениры (40) ","
				Сувениры ""Арт-Шоп""
				ул. Сдерот ХаЦионут 3, Кирьят-Ата								Тел. 052-2825136				Факс. 04-8452646artshop55@gmail.com",http://info24.co.il/coupons/vse-goroda/podarki_suveniry
,,"Ювелирные изделия и часы ""Affo""","Подарки, сувениры (40) ","
				Ювелирные изделия и часы ""Affo""
				Таршиха (кольцо Ха-Шук)								Тел. 04-9974574",http://info24.co.il/coupons/vse-goroda/podarki_suveniry
mailto:29schwarz@gmail.com,29schwarz@gmail.com,"Косметика Мертвого моря и подарки ""Schwarz""","Подарки, сувениры (40) ","
				Косметика Мертвого моря и подарки ""Schwarz""
				ул. Яффо 29, Хайфа								Тел. 054-4849535, 04-8335699				Факс. 072-250997829schwarz@gmail.com",http://info24.co.il/coupons/vse-goroda/podarki_suveniry
,,"Доставка цветов и сувениров ""Прахей Лев""","Подарки, сувениры (40) ","
				Доставка цветов и сувениров ""Прахей Лев""
				ул. Какаль 92/1, Кармиэль								Тел. 04-9989966, 04-9580335, 052-2263323				Факс. 04-9989966http://levflowers.co.il",http://info24.co.il/coupons/vse-goroda/podarki_suveniry
